顾客编号,一月消费天数,一月消费额,二月消费天数,二月消费额,三月消费天数,三月消费额,四月消费天数,四月消费额
1237,0,0,17,212.98,0,0,0,0
1238,0,0,8,68.72,0,0,0,0
1239,0,0,10,18.35,9,129.21,3,7.6
1240,0,0,29,171.28,21,183.86,0,0
1241,0,0,5,80.7,0,0,0,0
1242,0,0,2,33.61,0,0,0,0
1243,0,0,15,276.7,9,52.7,2,13.9
1244,0,0,4,44.6,4,29.8,15,119.4
1245,0,0,2,141.8,0,0,0,0
1246,0,0,36,368.55,11,74.71,8,56.32
1247,0,0,7,93.24,12,89.64,5,40.6
1248,0,0,3,12.16,0,0,0,0
1249,0,0,14,141.7,0,0,0,0
1250,0,0,1,23.19,0,0,0,0
1251,0,0,1,33.9,0,0,0,0
1252,0,0,8,49.2,0,0,4,55.9
1253,0,0,1,23.8,0,0,0,0
1254,0,0,7,78.1,0,0,16,90.37
1255,0,0,7,302.4,0,0,0,0
1256,0,0,9,104.3,0,0,45,685.37
1257,0,0,6,72.63,0,0,0,0
1258,0,0,6,48.94,0,0,3,31.7
1259,0,0,5,37.8,0,0,0,0
1260,0,0,4,20.43,0,0,0,0
1261,0,0,3,15.3,0,0,0,0
1262,0,0,4,45.76,0,0,0,0
1263,0,0,17,193.94,0,0,0,0
1264,0,0,4,105.84,8,151.1,0,0
1265,0,0,6,150.99,0,0,0,0
1266,0,0,16,102.65,10,65.8,0,0
1267,0,0,1,6.5,0,0,0,0
1268,0,0,9,62.85,7,25.96,13,123.53
1269,0,0,5,79.69,0,0,0,0
1270,0,0,24,278.12,7,86.79,0,0
1271,0,0,16,155.65,0,0,0,0
1272,0,0,9,73.38,7,128.67,0,0
1273,0,0,9,58.6,0,0,0,0
1274,0,0,7,141.3,0,0,0,0
1275,0,0,2,38.8,7,68.64,0,0
1276,0,0,6,112.9,2,17.4,0,0
1277,0,0,15,54.18,0,0,0,0
1278,0,0,11,55.32,2,10.8,0,0
1279,0,0,11,113.18,15,84.68,0,0
1280,0,0,10,106.94,0,0,0,0
1281,0,0,10,89.65,0,0,0,0
1282,0,0,5,90.4,0,0,0,0
1283,0,0,2,12,0,0,0,0
1284,0,0,3,39.04,0,0,0,0
1285,0,0,2,15.09,0,0,6,53.9
1286,0,0,3,22.1,7,52.29,0,0
1287,0,0,21,269.57,0,0,0,0
1288,0,0,21,463.38,19,169,0,0
1289,0,0,5,31.9,0,0,0,0
1290,0,0,8,101.4,9,54.1,0,0
1291,0,0,13,122.69,0,0,7,54.48
1292,0,0,17,177.23,4,28.83,1,6.72
1293,0,0,2,23.9,3,30.11,0,0
1294,0,0,3,20.4,0,0,0,0
1295,0,0,3,50.66,17,66.3,0,0
1296,0,0,1,9.9,0,0,0,0
1297,0,0,3,111.78,0,0,0,0
1298,0,0,9,47.92,0,0,0,0
1299,0,0,9,44.47,0,0,0,0
1300,0,0,13,162.39,0,0,0,0
1301,0,0,3,12.34,0,0,0,0
1302,0,0,5,136.6,0,0,3,89.7
1303,0,0,6,33.99,0,0,0,0
1304,0,0,15,56.19,0,0,4,39
1305,0,0,26,93.35,13,49.44,0,0
1306,0,0,5,46.95,15,183.71,0,0
1307,0,0,4,25.51,0,0,0,0
1308,0,0,6,33.78,5,30.18,0,0
1309,0,0,16,194.17,0,0,0,0
1310,0,0,1,135,0,0,13,80.15
1311,0,0,8,83.73,0,0,0,0
1312,0,0,2,17.96,0,0,0,0
1313,0,0,8,38.73,0,0,0,0
1314,0,0,5,12.63,58,363.66,8,24.03
1315,0,0,5,26.93,0,0,0,0
1316,0,0,17,207.15,0,0,5,64.15
1317,0,0,6,16.15,0,0,0,0
1318,0,0,18,102.11,0,0,12,142.3
1319,0,0,2,33.8,0,0,0,0
1320,0,0,8,96.44,0,0,0,0
1321,0,0,4,28.9,0,0,0,0
1322,0,0,5,48,0,0,0,0
1323,0,0,7,44.66,10,100.8,0,0
1324,0,0,2,99.4,0,0,0,0
1325,0,0,23,217.46,0,0,0,0
1326,0,0,6,118.54,0,0,0,0
1327,0,0,10,499.1,0,0,5,72.28
1328,0,0,8,32.7,0,0,0,0
1329,0,0,2,136.8,0,0,0,0
1330,0,0,4,154.47,2,34.7,4,14.1
1331,0,0,3,14.87,4,11.21,0,0
1332,0,0,2,11.8,8,102.7,0,0
1333,0,0,9,101.51,0,0,8,17.99
1334,0,0,2,19.6,0,0,12,138.5
1335,0,0,11,58.69,0,0,0,0
1336,0,0,9,85.29,4,32.93,0,0
1337,0,0,8,85.97,0,0,0,0
1338,0,0,7,41.7,0,0,0,0
1339,0,0,11,117.12,0,0,0,0
1340,0,0,5,34.51,0,0,0,0
1341,0,0,3,16.8,0,0,0,0
1342,0,0,6,76.4,5,41.02,0,0
1343,0,0,10,54.14,12,86.15,18,102.83
1344,0,0,8,84.12,2,32.8,0,0
1345,0,0,5,43.9,0,0,0,0
1346,0,0,1,15.3,35,198.64,0,0
1347,0,0,6,48.4,0,0,0,0
1348,0,0,2,13.68,0,0,0,0
1349,0,0,3,50.64,0,0,0,0
1350,0,0,4,19.31,0,0,0,0
1351,0,0,10,204.4,0,0,0,0
1352,0,0,19,145.28,0,0,0,0
1353,0,0,8,190.2,0,0,0,0
1354,0,0,28,191.61,11,76.49,0,0
1355,0,0,8,43.36,3,9.2,0,0
1356,0,0,7,54.63,0,0,0,0
1357,0,0,7,347.6,0,0,3,58.77
1358,0,0,6,52.95,0,0,0,0
1359,0,0,12,175.48,0,0,0,0
1360,0,0,9,71.3,0,0,0,0
1361,0,0,2,6.9,0,0,0,0
1362,0,0,5,72.19,0,0,0,0
1363,0,0,12,448.2,8,84.23,0,0
1364,0,0,5,28.29,0,0,0,0
1365,0,0,4,45.66,0,0,24,184.7
1366,0,0,3,17.8,0,0,0,0
1367,0,0,2,50.9,2,16.37,0,0
1368,0,0,7,93.29,3,32.58,3,42.3
1369,0,0,2,2.58,0,0,0,0
1370,0,0,8,57.73,0,0,0,0
1371,0,0,18,243.11,0,0,0,0
1372,0,0,7,60.13,1,106.53,0,0
1373,0,0,10,152.6,0,0,0,0
1374,0,0,10,113.3,14,255,0,0
1375,0,0,7,165.4,0,0,0,0
1376,0,0,5,339.3,0,0,0,0
1377,0,0,3,24.8,0,0,0,0
1378,0,0,6,41.41,2,20.5,0,0
1379,0,0,8,38.21,0,0,0,0
1380,0,0,7,42.4,0,0,0,0
1381,0,0,5,260,0,0,0,0
1382,0,0,4,47.04,0,0,0,0
1383,0,0,3,47.1,0,0,0,0
1384,0,0,8,126.72,0,0,0,0
1385,0,0,11,2451.5,0,0,0,0
1386,0,0,11,90.63,7,118.17,0,0
1387,0,0,3,27.62,7,45.29,0,0
1388,0,0,5,83.11,14,120.95,2,18.98
1389,0,0,6,132.8,0,0,2,21.6
1390,0,0,2,54.3,0,0,0,0
1391,0,0,5,69.59,1,29.76,0,0
1392,0,0,3,24.94,0,0,0,0
1393,0,0,4,33.8,1,8.5,0,0
1394,0,0,2,16.45,0,0,0,0
1395,0,0,12,61.17,0,0,2,25.6
1396,0,0,6,80.56,0,0,0,0
1397,0,0,7,66.07,0,0,0,0
1398,0,0,18,130.11,1,4.9,0,0
1399,0,0,4,41.75,12,79,0,0
1400,0,0,4,99.87,0,0,0,0
1401,0,0,1,9.7,0,0,0,0
1402,0,0,7,40.44,13,66.65,0,0
1403,0,0,21,174.41,0,0,16,148.09
1404,0,0,5,98.5,0,0,0,0
1405,0,0,3,69.77,0,0,0,0
1406,0,0,4,35.97,0,0,0,0
1407,0,0,6,16.63,0,0,0,0
1408,0,0,7,76.03,0,0,0,0
1409,0,0,12,343.9,5,65.88,1,10.39
1410,0,0,5,8.95,0,0,0,0
1411,0,0,2,25.1,0,0,0,0
1412,0,0,2,50.2,0,0,0,0
1413,0,0,9,73.46,7,179.8,0,0
1414,0,0,2,15.5,0,0,0,0
1415,0,0,1,20.3,0,0,0,0
1416,0,0,1,5.3,0,0,0,0
1417,0,0,6,18.41,0,0,0,0
1418,0,0,14,127.2,0,0,0,0
1419,0,0,5,34.98,0,0,0,0
1420,0,0,27,338.88,0,0,0,0
1421,0,0,10,44.67,0,0,3,30.2
1422,0,0,1,6.9,0,0,0,0
1423,0,0,5,258.9,0,0,0,0
1424,0,0,15,63.03,0,0,0,0
1425,0,0,8,72.05,3,33.28,0,0
1426,0,0,3,83.71,0,0,0,0
1427,0,0,6,28.9,0,0,0,0
1428,0,0,3,37.7,0,0,0,0
1429,0,0,1,55,0,0,0,0
1430,0,0,7,21.17,0,0,0,0
1431,0,0,4,129.2,0,0,0,0
1432,0,0,22,187.28,8,58.43,29,181.18
1433,0,0,6,16.72,2,57.3,0,0
1434,0,0,7,189.13,0,0,0,0
1435,0,0,4,25.7,0,0,0,0
1436,0,0,3,105.8,5,63.8,0,0
1437,0,0,2,6.97,0,0,0,0
1438,0,0,4,163.3,0,0,0,0
1439,0,0,2,41.5,10,115.76,0,0
1440,0,0,3,23.5,0,0,0,0
1441,0,0,9,128.1,0,0,0,0
1442,0,0,23,363.84,8,164.65,6,30.67
1443,0,0,3,28.2,0,0,0,0
1444,0,0,17,328.44,12,125.85,10,119.74
1445,0,0,2,61.15,0,0,1,10.4
1446,0,0,3,15.2,0,0,0,0
1447,0,0,4,70.75,0,0,0,0
1448,0,0,2,491.4,0,0,0,0
1449,0,0,6,45.4,4,35,0,0
1450,0,0,10,97.8,0,0,0,0
1451,0,0,2,20.3,13,77.89,0,0
1452,0,0,1,42.7,12,74.19,7,61.8
1453,0,0,10,76.6,0,0,10,99.06
1454,0,0,7,113.5,0,0,5,31.28
1455,0,0,6,44.83,0,0,7,81.55
1456,0,0,7,35.63,0,0,0,0
1457,0,0,7,77.2,0,0,3,41.5
1458,0,0,3,21.25,0,0,0,0
1459,0,0,8,343.32,0,0,30,227.31
1460,0,0,2,9.12,3,64.7,0,0
1461,0,0,3,34.23,0,0,0,0
1462,0,0,7,39.26,8,85.01,12,123.39
1463,0,0,11,499.6,0,0,0,0
1464,0,0,5,34.68,7,31.8,0,0
1465,0,0,6,80.41,0,0,11,46.2
1466,0,0,9,149.85,0,0,0,0
1467,0,0,1,110,0,0,0,0
1468,0,0,3,123.22,0,0,0,0
1469,0,0,9,245.71,12,207.03,24,241.61
1470,0,0,5,48.7,10,112.14,29,307.04
1471,0,0,2,10.5,3,28.03,13,154.14
1472,0,0,2,5.47,0,0,0,0
1473,0,0,4,319,0,0,0,0
1474,0,0,19,172.2,0,0,0,0
1475,0,0,5,57.77,0,0,4,40.32
1476,0,0,14,206.66,8,55.22,7,45.4
1477,0,0,4,34,0,0,0,0
1478,0,0,23,115.98,16,117.07,0,0
1479,0,0,9,76.39,0,0,0,0
1480,0,0,7,186.3,0,0,0,0
1481,0,0,3,30.7,0,0,0,0
1482,0,0,7,351.29,0,0,9,148.04
1483,0,0,2,28.9,0,0,0,0
1484,0,0,10,139.2,0,0,0,0
1485,0,0,2,36.8,0,0,0,0
1486,0,0,9,146.12,0,0,4,24.89
1487,0,0,4,106.8,0,0,0,0
1488,0,0,2,108.9,0,0,0,0
1489,0,0,8,189.11,0,0,0,0
1490,0,0,2,94,0,0,3,161
1491,0,0,5,19.21,16,111.22,0,0
1492,0,0,3,54.13,0,0,0,0
1493,0,0,8,40.16,0,0,0,0
1494,0,0,2,39.8,0,0,0,0
1495,0,0,11,209.57,0,0,6,58
1496,0,0,7,116.86,0,0,0,0
1497,0,0,12,104.48,2,14.83,0,0
1498,0,0,3,129.9,6,38.4,0,0
1499,0,0,9,162.9,0,0,0,0
1500,0,0,10,190.5,0,0,0,0
1501,0,0,19,610.56,7,267.29,2,26.8
1502,0,0,7,90.81,0,0,0,0
1503,0,0,7,162.4,0,0,0,0
1504,0,0,4,117.7,0,0,0,0
1505,0,0,5,65.4,0,0,0,0
1506,0,0,1,15.9,0,0,5,20.36
1507,0,0,13,101.28,0,0,0,0
1508,0,0,22,149.69,0,0,0,0
1509,0,0,22,230.21,8,106.71,6,70.3
1510,0,0,13,116.8,0,0,0,0
1511,0,0,4,231,0,0,0,0
1512,0,0,8,158.9,20,136.68,20,410.45
1513,0,0,10,105.11,0,0,0,0
1514,0,0,2,99.59,0,0,0,0
1515,0,0,6,51.71,0,0,0,0
1516,0,0,9,60.31,0,0,3,31.2
1517,0,0,6,249.5,0,0,0,0
1518,0,0,7,32.56,0,0,0,0
1519,0,0,9,85.66,0,0,0,0
1520,0,0,11,264.97,0,0,0,0
1521,0,0,7,59.36,11,57.44,8,62.68
1522,0,0,4,35.09,7,51.44,2,33.52
1523,0,0,6,231.95,0,0,0,0
1524,0,0,14,207.56,5,13.93,0,0
1525,0,0,17,117.6,0,0,0,0
1526,0,0,1,53.4,0,0,0,0
1527,0,0,1,17.9,0,0,0,0
1528,0,0,11,104.6,2,74.4,2,64.7
1529,0,0,6,168.8,0,0,0,0
1530,0,0,4,113.77,0,0,0,0
1531,0,0,2,22.39,0,0,0,0
1532,0,0,5,53.3,0,0,0,0
1533,0,0,5,298.5,0,0,0,0
1534,0,0,4,255,0,0,0,0
1535,0,0,12,125.7,5,41.6,0,0
1536,0,0,2,24.07,0,0,0,0
1537,0,0,4,68.5,4,57.7,0,0
1538,0,0,4,202.9,0,0,0,0
1539,0,0,6,50.5,0,0,0,0
1540,0,0,7,102.42,0,0,0,0
1541,0,0,6,745.9,0,0,0,0
1542,0,0,4,132.1,1,8.9,3,16.75
1543,0,0,5,180.8,0,0,0,0
1544,0,0,16,120.82,27,177.31,12,81.38
1545,0,0,4,64.14,0,0,0,0
1546,0,0,4,18.33,6,17.6,0,0
1547,0,0,2,57.9,0,0,0,0
1548,0,0,1,288,5,196.2,0,0
1549,0,0,3,106.2,0,0,0,0
1550,0,0,1,120,0,0,0,0
1551,0,0,2,63.4,0,0,0,0
1552,0,0,2,13.8,0,0,0,0
1553,0,0,1,39.73,30,482.95,6,32.55
1554,0,0,13,104.01,0,0,0,0
1555,0,0,8,61,0,0,0,0
1556,0,0,7,248.02,0,0,0,0
1557,0,0,4,348.6,0,0,0,0
1558,0,0,5,60.96,0,0,0,0
1559,0,0,35,312.64,55,399.24,20,274.72
1560,0,0,17,278.38,4,75.73,0,0
1561,0,0,10,407.56,15,268.3,15,243
1562,0,0,49,287.49,49,328.02,0,0
1563,0,0,13,100.5,0,0,0,0
1564,0,0,11,90.23,0,0,0,0
1565,0,0,10,119.5,1,6.8,3,125.3
1566,0,0,6,404.7,0,0,0,0
1567,0,0,19,153.51,9,127.3,0,0
1568,0,0,14,127.91,0,0,0,0
1569,0,0,7,264.53,0,0,0,0
1570,0,0,12,62.66,0,0,0,0
1571,0,0,5,76.94,19,598.99,0,0
1572,0,0,5,86.4,4,39.73,3,22.38
1573,0,0,17,237.86,0,0,0,0
1574,0,0,26,195.36,0,0,0,0
1575,0,0,5,35.2,17,329.97,2,12.05
1576,0,0,8,253.88,0,0,0,0
1577,0,0,2,113.4,0,0,0,0
1578,0,0,1,27.06,0,0,0,0
1579,0,0,2,16.3,0,0,3,24.69
1580,0,0,3,58.6,0,0,5,41.75
1581,0,0,4,21.7,0,0,2,13.9
1582,0,0,4,319,0,0,0,0
1583,0,0,7,60.6,0,0,0,0
1584,0,0,6,61.93,0,0,5,21.44
1585,0,0,3,103,0,0,1,9
1586,0,0,3,30.69,0,0,0,0
1587,0,0,2,205.8,0,0,0,0
1588,0,0,1,246,0,0,0,0
1589,0,0,1,22.3,0,0,0,0
1590,0,0,2,33.19,0,0,0,0
1591,0,0,6,65.4,0,0,0,0
1592,0,0,22,145.14,0,0,0,0
1593,0,0,7,50.62,0,0,0,0
1594,0,0,3,1563.9,0,0,0,0
1595,0,0,20,75.49,0,0,12,182.54
1596,0,0,6,129.1,18,150.97,3,51.08
1597,0,0,6,26.24,0,0,0,0
1598,0,0,16,96.89,2,24.12,0,0
1599,0,0,3,336.8,0,0,0,0
1600,0,0,6,161.82,0,0,0,0
1601,0,0,9,61.04,0,0,0,0
1602,0,0,14,108.99,3,30.52,0,0
1603,0,0,7,84.44,10,93.83,6,63.08
1604,0,0,13,88.2,0,0,0,0
1605,0,0,8,48.85,0,0,5,25.97
1606,0,0,4,20.7,0,0,0,0
1607,0,0,3,20.8,0,0,0,0
1608,0,0,9,79.9,2,119,0,0
1609,0,0,6,112.87,4,188.7,0,0
1610,0,0,1,5.9,0,0,0,0
1611,0,0,4,259.4,0,0,0,0
1612,0,0,12,255.51,5,30.27,3,49.1
1613,0,0,3,179.7,5,61.6,6,38.19
1614,0,0,11,617.7,0,0,0,0
1615,0,0,5,118,0,0,0,0
1616,0,0,23,131.83,0,0,6,52.8
1617,0,0,1,17.54,0,0,0,0
1618,0,0,4,45.2,0,0,0,0
1619,0,0,5,99.7,0,0,0,0
1620,0,0,6,61.3,0,0,0,0
1621,0,0,6,34.96,0,0,0,0
1622,0,0,2,102.35,28,200.28,8,69.2
1623,0,0,4,216.9,0,0,3,19.9
1624,0,0,2,177,0,0,0,0
1625,0,0,4,62.63,0,0,0,0
1626,0,0,4,34,0,0,0,0
1627,0,0,13,142.51,0,0,0,0
1628,0,0,7,170.4,0,0,0,0
1629,0,0,3,166.8,12,179.1,0,0
1630,0,0,18,240.84,0,0,0,0
1631,0,0,3,56.78,13,35.31,24,371.02
1632,0,0,2,182.4,0,0,0,0
1633,0,0,10,80.6,0,0,0,0
1634,0,0,4,40.8,1,31.8,0,0
1635,0,0,4,33.2,0,0,0,0
1636,0,0,2,63.8,0,0,0,0
1637,0,0,1,117,0,0,0,0
1638,0,0,3,45.9,5,22.78,0,0
1639,0,0,1,3.77,0,0,11,102.73
1640,0,0,15,183.74,3,28,21,174.01
1641,0,0,1,3.9,0,0,4,33.5
1642,0,0,1,58.8,0,0,0,0
1643,0,0,5,75.5,0,0,0,0
1644,0,0,11,56.54,0,0,0,0
1645,0,0,2,122,0,0,0,0
1646,0,0,16,127.18,0,0,0,0
1647,0,0,2,80.9,0,0,0,0
1648,0,0,5,228.9,0,0,0,0
1649,0,0,4,47.76,3,17.4,11,41.55
1650,0,0,2,68.9,0,0,0,0
1651,0,0,3,122.5,0,0,0,0
1652,0,0,2,97.7,0,0,0,0
1653,0,0,9,38.65,0,0,11,82.48
1654,0,0,8,53.35,0,0,0,0
1655,0,0,6,40.6,0,0,0,0
1656,0,0,1,98.4,3,86.86,0,0
1657,0,0,1,32.9,0,0,0,0
1658,0,0,16,97.6,0,0,0,0
1659,0,0,2,157.8,0,0,0,0
1660,0,0,3,10.8,0,0,0,0
1661,0,0,4,39.32,0,0,3,30
1662,0,0,2,28.9,5,55.77,0,0
1663,0,0,2,91.9,0,0,0,0
1664,0,0,11,36.08,0,0,0,0
1665,0,0,11,147.72,0,0,0,0
1666,0,0,4,138.3,0,0,0,0
1667,0,0,1,57,0,0,0,0
1668,0,0,21,94.6,7,75.94,0,0
1669,0,0,8,91.5,0,0,0,0
1670,0,0,8,37.82,14,70.27,0,0
1671,0,0,6,22.54,0,0,10,215.69
1672,0,0,1,17.82,0,0,0,0
1673,0,0,4,102,0,0,0,0
1674,0,0,13,107.03,4,29.96,0,0
1675,0,0,2,14.2,0,0,0,0
1676,0,0,9,81.24,2,11.4,13,98.88
1677,0,0,2,85.8,2,33.81,0,0
1678,0,0,5,9.29,0,0,0,0
1679,0,0,3,65.65,4,151.76,0,0
1680,0,0,7,53.3,0,0,0,0
1681,0,0,5,13.7,0,0,3,28
1682,0,0,2,103.4,0,0,0,0
1683,0,0,2,80.9,0,0,0,0
1684,0,0,4,45.21,0,0,0,0
1685,0,0,1,206,0,0,0,0
1686,0,0,2,100.8,0,0,0,0
1687,0,0,6,37.54,11,176.86,5,56.73
1688,0,0,12,184.62,0,0,3,28.5
1689,0,0,8,30,0,0,0,0
1690,0,0,3,24.6,0,0,0,0
1691,0,0,15,190.7,0,0,0,0
1692,0,0,11,73.71,5,55.03,0,0
1693,0,0,9,33.93,0,0,0,0
1694,0,0,3,21.59,0,0,20,199.73
1695,0,0,5,82.2,0,0,0,0
1696,0,0,6,170.6,6,17.13,0,0
1697,0,0,5,50.84,0,0,0,0
1698,0,0,1,8.98,0,0,0,0
1699,0,0,2,77,8,80.4,0,0
1700,0,0,8,83.25,0,0,0,0
1701,0,0,8,104.5,5,35.8,0,0
1702,0,0,4,37.8,0,0,0,0
1703,0,0,4,50.8,10,95.7,0,0
1704,0,0,9,106.8,0,0,0,0
1705,0,0,7,21.13,0,0,0,0
1706,0,0,10,97.87,0,0,0,0
1707,0,0,2,19.9,0,0,0,0
1708,0,0,29,183.66,0,0,0,0
1709,0,0,1,32.9,0,0,0,0
1710,0,0,1,31.86,0,0,0,0
1711,0,0,2,71.3,0,0,0,0
1712,0,0,6,31.9,15,63.18,4,137.8
1713,0,0,1,20.9,0,0,0,0
1714,0,0,1,38.9,0,0,0,0
1715,0,0,8,76.61,0,0,6,67.62
1716,0,0,14,76.17,0,0,0,0
1717,0,0,3,55.8,0,0,3,13.1
1718,0,0,14,96.99,0,0,0,0
1719,0,0,10,60.37,12,141.54,0,0
1720,0,0,8,35.18,0,0,0,0
1721,0,0,9,106.66,0,0,0,0
1722,0,0,4,7.3,2,46.03,0,0
1723,0,0,4,54.15,0,0,0,0
1724,0,0,10,57.13,3,52.24,10,110.94
1725,0,0,5,27.29,3,20.07,0,0
1726,0,0,2,22,0,0,2,86.7
1727,0,0,4,21.9,7,77.02,0,0
1728,0,0,5,54.7,0,0,0,0
1729,0,0,3,36.2,0,0,0,0
1730,0,0,6,99.5,6,99.46,14,155.65
1731,0,0,9,74.18,6,93.65,7,62.88
1732,0,0,2,18.85,0,0,0,0
1733,0,0,1,12.8,22,125.36,21,158.98
1734,0,0,1,20,3,98,0,0
1735,0,0,2,58.9,0,0,0,0
1736,0,0,1,72,0,0,0,0
1737,0,0,1,109.9,8,200.2,0,0
1738,0,0,11,248.1,0,0,0,0
1739,0,0,7,97.1,0,0,0,0
1740,0,0,6,45.86,0,0,0,0
1741,0,0,2,19.9,0,0,0,0
1742,0,0,3,51.3,4,22.6,0,0
1743,0,0,13,84.99,13,80.91,4,79.73
1744,0,0,4,34.3,0,0,0,0
1745,0,0,3,41.5,0,0,0,0
1746,0,0,5,52.9,0,0,0,0
1747,0,0,5,14.29,0,0,0,0
1748,0,0,3,6.97,16,117.65,20,157.87
1749,0,0,2,6.14,5,23.03,0,0
1750,0,0,2,25.4,0,0,0,0
1751,0,0,1,11.57,13,169.34,4,35.5
1752,0,0,5,18.79,4,17.37,0,0
1753,0,0,2,39.01,0,0,0,0
1754,0,0,7,41.78,0,0,0,0
1755,0,0,10,90.38,0,0,6,45.29
1756,0,0,12,67.81,3,19.4,0,0
1757,0,0,3,14.8,15,64.9,8,51.7
1758,0,0,3,130.9,0,0,0,0
1759,0,0,4,23.01,0,0,3,46.5
1760,0,0,3,10.52,0,0,0,0
1761,0,0,12,47.94,21,146.48,0,0
1762,0,0,3,29.3,0,0,2,54.5
1763,0,0,2,118.8,0,0,0,0
1764,0,0,2,52.02,0,0,0,0
1765,0,0,8,61.18,46,238.4,51,291.27
1766,0,0,7,69.4,0,0,0,0
1767,0,0,2,39.69,5,84.2,0,0
1768,0,0,4,35.58,0,0,0,0
1769,0,0,11,50.51,9,67.93,0,0
1770,0,0,2,21.86,0,0,0,0
1771,0,0,1,5.3,0,0,0,0
1772,0,0,3,61.36,0,0,0,0
1773,0,0,3,80.48,1,16.23,0,0
1774,0,0,0,0,31,93.02,27,259.45
1775,0,0,0,0,3,4.8,0,0
1776,0,0,0,0,8,57.84,0,0
1777,0,0,0,0,14,122.36,0,0
1778,0,0,0,0,19,143.5,0,0
1779,0,0,0,0,4,72.83,0,0
1780,0,0,0,0,3,158,0,0
1781,0,0,0,0,2,50.13,0,0
1782,0,0,0,0,5,181.2,13,71.66
1783,0,0,0,0,5,40.14,0,0
1784,0,0,0,0,21,371.89,0,0
1785,0,0,0,0,3,10.22,0,0
1786,0,0,0,0,4,93.6,0,0
1787,0,0,0,0,14,133.03,8,77.1
1788,0,0,0,0,5,27.89,0,0
1789,0,0,0,0,5,110.6,0,0
1790,0,0,0,0,5,24.32,0,0
1791,0,0,0,0,6,27.42,3,31.51
1792,0,0,0,0,12,103.38,0,0
1793,0,0,0,0,7,38.6,3,21.7
1794,0,0,0,0,4,33.2,7,146.72
1795,0,0,0,0,12,51.4,0,0
1796,0,0,0,0,4,13.99,0,0
1797,0,0,0,0,5,23.1,0,0
1798,0,0,0,0,8,104.4,0,0
1799,0,0,0,0,6,40.74,3,22.7
1800,0,0,0,0,1,4.5,0,0
1801,0,0,0,0,3,23.8,0,0
1802,0,0,0,0,3,57,0,0
1803,0,0,0,0,4,34.6,0,0
1804,0,0,0,0,3,39.74,0,0
1805,0,0,0,0,8,45.8,0,0
1806,0,0,0,0,4,256.6,0,0
1807,0,0,0,0,5,31.03,0,0
1808,0,0,0,0,3,70.32,0,0
1809,0,0,0,0,2,17.09,0,0
1810,0,0,0,0,6,102.62,0,0
1811,0,0,0,0,8,27.38,0,0
1812,0,0,0,0,25,82.73,27,162.82
1813,0,0,0,0,4,40.55,5,33.8
1814,0,0,0,0,3,44.1,0,0
1815,0,0,0,0,24,226.68,0,0
1816,0,0,0,0,11,68.94,2,12.4
1817,0,0,0,0,2,15.47,4,36.57
1818,0,0,0,0,24,170,9,67.57
1819,0,0,0,0,3,29.02,0,0
1820,0,0,0,0,13,48.66,0,0
1821,0,0,0,0,1,5.8,0,0
1822,0,0,0,0,3,25,0,0
1823,0,0,0,0,9,43,5,30.74
1824,0,0,0,0,9,66.24,0,0
1825,0,0,0,0,2,55.37,2,13.9
1826,0,0,0,0,2,20.8,0,0
1827,0,0,0,0,2,11.3,0,0
1828,0,0,0,0,7,46.18,0,0
1829,0,0,0,0,13,52.51,0,0
1830,0,0,0,0,3,17.11,3,79.31
1831,0,0,0,0,5,40,0,0
1832,0,0,0,0,5,102.07,0,0
1833,0,0,0,0,4,28.77,0,0
1834,0,0,0,0,4,44.48,2,20.9
1835,0,0,0,0,3,50.24,0,0
1836,0,0,0,0,19,158.42,7,24.35
1837,0,0,0,0,2,22.7,0,0
1838,0,0,0,0,7,26.03,0,0
1839,0,0,0,0,37,356.87,31,136.65
1840,0,0,0,0,16,145.49,0,0
1841,0,0,0,0,1,57.6,0,0
1842,0,0,0,0,1,2.5,0,0
1843,0,0,0,0,7,63.68,0,0
1844,0,0,0,0,9,37.32,0,0
1845,0,0,0,0,2,22.8,0,0
1846,0,0,0,0,25,229.8,0,0
1847,0,0,0,0,1,5.9,0,0
1848,0,0,0,0,2,41.7,0,0
1849,0,0,0,0,3,32.07,7,45.61
1850,0,0,0,0,3,48,0,0
1851,0,0,0,0,13,87.82,5,32.1
1852,0,0,0,0,1,9.19,0,0
1853,0,0,0,0,2,34.6,0,0
1854,0,0,0,0,6,129.33,0,0
1855,0,0,0,0,5,77.4,0,0
1856,0,0,0,0,7,56.06,7,62.04
1857,0,0,0,0,1,10.9,0,0
1858,0,0,0,0,10,49.01,13,105.24
1859,0,0,0,0,3,14.69,0,0
1860,0,0,0,0,1,15.9,0,0
1861,0,0,0,0,2,20.2,0,0
1862,0,0,0,0,1,9.9,0,0
1863,0,0,0,0,8,70.9,0,0
1864,0,0,0,0,3,135.04,0,0
1865,0,0,0,0,3,13.74,2,15.19
1866,0,0,0,0,19,157.62,0,0
1867,0,0,0,0,5,61.66,0,0
1868,0,0,0,0,3,123.27,0,0
1869,0,0,0,0,12,197.61,5,37.81
1870,0,0,0,0,9,147.99,0,0
1871,0,0,0,0,5,55.36,0,0
1872,0,0,0,0,5,92.09,0,0
1873,0,0,0,0,4,93.56,0,0
1874,0,0,0,0,7,69.44,5,71.36
1875,0,0,0,0,7,242.61,0,0
1876,0,0,0,0,3,69.52,0,0
1877,0,0,0,0,8,102.2,0,0
